Subject,Topic,Difficulty,Question,Answer,Explanation,EdexcelSpecReference
Mathematics,Number,foundation,Calculate 3/4 ÷ 1/2. Give your answer as a fraction.,3/2 (or 1½),"To divide by a fraction, multiply by its reciprocal: 3/4 × 2/1 = 6/4 = 3/2.",4MA1/N
Mathematics,Number,foundation,Express 0.00032 in standard form.,3.2 × 10⁻⁴,"Move the decimal point 4 places right to get 3.2, so the power of 10 is negative: 3.2 × 10⁻⁴.",4MA1/N
Mathematics,Number,foundation,Find the Lowest Common Multiple (LCM) of 6 and 8.,24,"Multiples of 6: 6, 12, 18, 24... Multiples of 8: 8, 16, 24... First common multiple is 24.",4MA1/N
Mathematics,Number,foundation,Write 4500 in standard form.,4.5 × 10³,Standard form is A × 10ⁿ where 1 ≤ A < 10. Move the decimal point 3 places left: 4500 = 4.5 × 10³.,4MA1/N
Mathematics,Number,foundation,Write down all the factors of 24.,"1, 2, 3, 4, 6, 8, 12, 24","Factors are integers that divide exactly into 24. Work systematically: 1×24, 2×12, 3×8, 4×6.",4MA1/N
Mathematics,Number,higher,"A car depreciates in value by 15% each year. It is bought for £12,000. What is its value after 3 years? Give your answer to the nearest pound.","£7,368","Use the multiplier 0.85 for each year: £12,000 × 0.85³ = £12,000 × 0.614125 = £7,369.50. To the nearest pound: £7,370. (Accept £7369–£7370 depending on rounding).",4MA1/N
Mathematics,Number,higher,"The upper bound of a length is 12.65 cm and the lower bound is 12.55 cm. Write down the value the length was rounded to, and the degree of accuracy used.","12.6 cm, rounded to 1 decimal place (nearest 0.1 cm)","The midpoint of 12.55 and 12.65 is 12.6. The bounds are ±0.05 from 12.6, which corresponds to rounding to 1 decimal place.",4MA1/N
Mathematics,Number,higher,"Without a calculator, evaluate (2.4 × 10⁵) × (3 × 10³), giving your answer in standard form.",7.2 × 10⁸,Multiply the coefficients: 2.4 × 3 = 7.2. Add the powers: 10⁵ × 10³ = 10⁸. Answer: 7.2 × 10⁸.,4MA1/N
Mathematics,Probability,extended,"In a class of 30, 18 study French (F) and 12 study German (G). 5 study both. Using a Venn diagram, find the probability that a randomly chosen student studies neither French nor German.",5/30 = 1/6,Only F: 18−5=13. Only G: 12−5=7. Both: 5. Total studying at least one = 13+7+5=25. Neither = 30−25=5. P(neither) = 5/30 = 1/6.,4MA1/P
Mathematics,Probability,foundation,"A bag contains 3 red, 5 blue and 2 green balls. A ball is drawn at random. What is the probability it is blue?",1/2 (or 5/10),P(blue) = number of blue ÷ total = 5 ÷ (3+5+2) = 5/10 = 1/2.,4MA1/P
Mathematics,Probability,foundation,Events A and B are mutually exclusive. P(A) = 0.3 and P(B) = 0.4. Find P(A or B).,0.7,"For mutually exclusive events, P(A or B) = P(A) + P(B) = 0.3 + 0.4 = 0.7.",4MA1/P
Mathematics,Probability,foundation,The probability it rains on any day is 0.35. What is the probability it does NOT rain?,0.65,P(no rain) = 1 − P(rain) = 1 − 0.35 = 0.65. Complementary events always sum to 1.,4MA1/P
Mathematics,Probability,higher,A box contains 6 red and 4 blue balls. Two balls are drawn without replacement. Find the probability that both balls are red.,1/3,P(both red) = P(1st red) × P(2nd red | 1st red) = (6/10) × (5/9) = 30/90 = 1/3.,4MA1/P
Mathematics,Probability,higher,Two dice are rolled. Find the probability that the sum of the scores is greater than 9.,1/6,"Outcomes with sum > 9: (4,6),(5,5),(5,6),(6,4),(6,5),(6,6) = 6 outcomes out of 36. P = 6/36 = 1/6.",4MA1/P
Mathematics,Statistics,extended,"Explain why, when data is skewed to the right (positively skewed), the median is a better measure of average than the mean.","The mean is pulled towards the higher extreme values in a right-skewed distribution, giving a misleading impression of the typical value. The median is not affected by extreme values, so it better represents the centre of the data.","In a right-skewed distribution, there are a few very large values. These inflate the mean but do not affect the median. The median is therefore more representative of the typical data value.",4MA1/S
Mathematics,Statistics,foundation,"The ages of 6 people are: 23, 31, 19, 27, 31, 25. Calculate the mean age.",26,Mean = sum ÷ count = (23+31+19+27+31+25) ÷ 6 = 156 ÷ 6 = 26.,4MA1/S
Mathematics,Statistics,foundation,"The heights (cm) of 5 students are: 162, 175, 168, 175, 170. Find the median height.",170 cm,"Arrange in order: 162, 168, 170, 175, 175. The middle value (3rd of 5) is 170 cm.",4MA1/S
Mathematics,Statistics,foundation,"The table shows frequency: Score 1–10: 4, 11–20: 8, 21–30: 6. Calculate an estimate for the mean score.",16.8,"Use midpoints: 5.5, 15.5, 25.5. Mean = (4×5.5 + 8×15.5 + 6×25.5) ÷ (4+8+6) = (22+124+153) ÷ 18 = 299 ÷ 18 ≈ 16.6.",4MA1/S
Mathematics,Statistics,higher,"From a cumulative frequency graph, the lower quartile is 24 and the upper quartile is 42. Calculate the interquartile range and explain what it tells us.","IQR = 18. It shows the range of the middle 50% of the data, giving a measure of spread that is not affected by extreme values.","IQR = Q3 − Q1 = 42 − 24 = 18. The IQR measures the spread of the middle 50% of data, making it resistant to outliers.",4MA1/S
Mathematics,Statistics,higher,A scatter graph shows a strong positive correlation between hours studied and test score. Describe what this means in context.,"As the number of hours studied increases, the test score also tends to increase. There is a strong positive relationship between the two variables.",Positive correlation means both variables increase together. Strong means the points are clustered close to the line of best fit. Correlation does not imply causation.,4MA1/S
Mathematics,Trigonometry,extended,"In triangle ABC, AB = 10 cm, BC = 14 cm and angle BAC = 75°. Use the sine rule to find angle ACB to 1 decimal place.",angle ACB ≈ 43.6°,Sine rule: BC/sin(BAC) = AB/sin(ACB). sin(ACB) = AB × sin(BAC) / BC = 10 × sin75° / 14 = 10 × 0.9659 / 14 = 0.6899. ACB = sin⁻¹(0.6899) ≈ 43.6°.,4MA1/T
Mathematics,Trigonometry,foundation,"Calculate the area of a triangle with sides a = 7 cm, b = 9 cm, and included angle C = 60°.",27.3 cm²,Area = ½ab sin C = ½ × 7 × 9 × sin 60° = ½ × 63 × 0.866 = 27.3 cm².,4MA1/T
Mathematics,Trigonometry,foundation,"In a right-angled triangle, angle A = 40° and the hypotenuse = 15 cm. Find the adjacent side to 2 decimal places.",11.49 cm,cos A = adjacent/hypotenuse → adjacent = hypotenuse × cos A = 15 × cos 40° = 15 × 0.766 = 11.49 cm.,4MA1/T
Mathematics,Trigonometry,foundation,"In a right-angled triangle, the opposite side is 6 cm and the hypotenuse is 10 cm. Find angle θ to 1 decimal place.",36.9°,sin θ = opposite/hypotenuse = 6/10 = 0.6. θ = sin⁻¹(0.6) = 36.87° ≈ 36.9°.,4MA1/T
Mathematics,Trigonometry,higher,"A ship sails 12 km on a bearing of 030°, then 8 km on a bearing of 120°. How far is the ship from its starting point? Give your answer to 1 decimal place.",14.4 km,The angle between the two directions = 120° − 30° = 90°. Using Pythagoras: distance = √(12² + 8²) = √(144+64) = √208 ≈ 14.4 km.,4MA1/T
Mathematics,Trigonometry,higher,"Triangle PQR has PQ = 8 cm, QR = 11 cm and angle PQR = 47°. Find PR to 1 decimal place using the cosine rule.",PR ≈ 8.1 cm,PR² = PQ² + QR² − 2(PQ)(QR)cos(PQR) = 64 + 121 − 2(8)(11)cos47° = 185 − 176 × 0.6820 = 185 − 120.0 = 65.0. PR = √65.0 ≈ 8.1 cm.,4MA1/T
Physics,Electricity,extended,"A lamp rated 60 W, 230 V is left on for 8 hours. Calculate: (a) the current through the lamp, (b) the energy used in kWh, (c) the cost if electricity is 25p per kWh.",(a) I = P/V = 60/230 ≈ 0.26 A. (b) Energy = 0.06 kW × 8 h = 0.48 kWh. (c) Cost = 0.48 × 25p = 12p.,(a) I = P/V = 60/230 = 0.261 A. (b) Power in kW = 60/1000 = 0.06 kW. Energy = 0.06 × 8 = 0.48 kWh. (c) 0.48 × 25 = 12p. Students must show units at each step.,4PH1/P6
Physics,Electricity,foundation,"Explain the difference between conductors and insulators, giving an example of each.",Conductors allow electric current to flow through them easily because they have free (delocalised) electrons that can move. Example: copper wire. Insulators do not allow current to flow because electrons are tightly bound to atoms. Example: rubber/plastic.,"Conductors: metals (free electrons). Insulators: non-metals, rubber, plastic, glass (no free electrons). Semiconductors (silicon, germanium) are intermediate. This is why electrical cables use copper core with plastic insulation.",4PH1/P6
Physics,Electricity,foundation,"Two resistors, 4 Ω and 6 Ω, are connected in series. Calculate the total resistance.",10 Ω,"In series: R_total = R₁ + R₂ = 4 + 6 = 10 Ω. In series circuits, the same current flows through each component and resistances add up.",4PH1/P6
Physics,Electricity,foundation,Calculate the resistance of a component if a current of 2 A flows through it when a voltage of 12 V is applied.,6 Ω,Ohm's Law: V = IR → R = V/I = 12/2 = 6 Ω.,4PH1/P6
Physics,Electricity,foundation,Explain why the live wire in a UK plug is the most dangerous wire.,"The live wire carries the high alternating voltage (230 V) from the mains supply. If someone touches it, current passes through their body to earth, causing electric shock. The neutral wire is at 0 V, so touching it alone is not dangerous. The earth wire is also at 0 V and is a safety wire.","UK mains is 230 V AC, 50 Hz. Live = brown (230 V), neutral = blue (0 V), earth = green/yellow stripe. The fuse is always in the live wire — so it disconnects the high-voltage side.",4PH1/P6
Physics,Electricity,higher,"Two resistors, 6 Ω and 3 Ω, are connected in parallel. Calculate the total resistance.",2 Ω,1/R_total = 1/R₁ + 1/R₂ = 1/6 + 1/3 = 1/6 + 2/6 = 3/6 = 1/2. So R_total = 2 Ω. Parallel resistance is always less than the smallest individual resistance.,4PH1/P6
Physics,Electricity,higher,Calculate the electrical power dissipated by a 40 Ω resistor carrying a current of 3 A.,360 W,"P = I²R = 3² × 40 = 9 × 40 = 360 W. Alternative: first find V = IR = 3 × 40 = 120 V, then P = IV = 3 × 120 = 360 W.",4PH1/P6
Physics,Energy,extended,Evaluate the advantages and disadvantages of wind power as a source of electricity.,"Advantages: renewable (wind is free and unlimited), no greenhouse gas emissions during operation, low running costs, land between turbines can still be farmed. Disadvantages: intermittent (no wind = no electricity), visual and noise impact, requires backup supply for calm periods, initial construction costs are high, wildlife (birds) can be harmed.","Balanced evaluation required for extended marks. Consider environmental impact, reliability, cost, and scale. Wind is renewable but not reliable — this is the key trade-off vs. fossil fuels (reliable but polluting).",4PH1/P3
Physics,Energy,foundation,A 50 kg rock falls from a cliff 40 m high. Calculate the gravitational potential energy lost. (g = 10 m/s²),"20,000 J (20 kJ)","GPE = mgh = 50 × 10 × 40 = 20,000 J. This GPE is converted to kinetic energy as the rock falls (ignoring air resistance).",4PH1/P3
Physics,Energy,foundation,Calculate the kinetic energy of a 1200 kg car travelling at 20 m/s.,"240,000 J (240 kJ)","KE = ½mv² = ½ × 1200 × (20²) = ½ × 1200 × 400 = 240,000 J = 240 kJ.",4PH1/P3
Physics,Energy,foundation,State the principle of conservation of energy.,Energy cannot be created or destroyed. It can only be transferred from one form to another. The total energy in a closed system remains constant.,Conservation of energy is a fundamental physics principle. When a ball falls: GPE → KE (and some heat due to air resistance). A torch: chemical energy → light energy + heat energy. Total is always conserved.,4PH1/P3
Physics,Energy,higher,A machine has an input power of 500 W and an output power of 350 W. Calculate its efficiency as a percentage.,70%,"Efficiency = (useful output power / total input power) × 100 = (350 / 500) × 100 = 70%. The remaining 30% (150 W) is wasted, mainly as heat due to friction.",4PH1/P3
Physics,Energy,higher,A motor lifts a 200 N load by 3 m in 6 seconds. Calculate the power of the motor.,100 W,Work done = force × distance = 200 × 3 = 600 J. Power = work done / time = 600 / 6 = 100 W.,4PH1/P3
Physics,Forces,extended,A 70 kg skydiver reaches terminal velocity. Explain what terminal velocity means and what forces are acting at this point.,"Terminal velocity is the maximum constant speed reached when the driving force equals the resistive force, giving zero resultant force and zero acceleration. At terminal velocity: weight (700 N downward) = air resistance/drag (700 N upward). Resultant force = 0. By Newton's 1st Law, the skydiver moves at constant velocity. Initially, weight > drag, so they accelerate. As speed increases, drag increases until drag = weight.","Three phases: (1) just after jumping: weight >> drag, large acceleration. (2) As speed increases, drag increases, acceleration decreases. (3) Terminal velocity: weight = drag, acceleration = 0. When parachute opens, drag suddenly >> weight, deceleration occurs until new (lower) terminal velocity is reached.",4PH1/P2
Physics,Forces,extended,A uniform plank is 4 m long and weighs 200 N. It is supported at both ends. A 300 N load is placed 1 m from the left end. Calculate the upward forces at each support.,"R_left = 275 N, R_right = 225 N",Take moments about the left support. Clockwise: 300×1 + 200×2 = 700 N m. Anticlockwise: R_right×4. So R_right = 700/4 = 175 N. Then R_left = 500 − 175 = 325 N. (Recalculate — let me redo: sum of forces upward = 300+200=500N. Moments about left end: 300×1 + 200×2 = R_right × 4 → 700 = 4R_right → R_right = 175N. R_left = 500−175 = 325N.,4PH1/P2
Physics,Forces,foundation,A 60 kg person stands on a scale in a lift that accelerates upward at 2 m/s². What is the reading on the scale? (g = 10 m/s²),720 N,Weight = 60 × 10 = 600 N. Net force upward = ma = 60 × 2 = 120 N. Normal force = weight + net force = 600 + 120 = 720 N. The scale reads the normal force.,4PH1/P2
Physics,Forces,foundation,A block of mass 5 kg rests on a surface. The area in contact is 0.02 m². Calculate the pressure exerted on the surface. (g = 10 m/s²),2500 Pa,Weight = mg = 5 × 10 = 50 N. Pressure = force / area = 50 / 0.02 = 2500 Pa. 1 Pa = 1 N/m².,4PH1/P2
Physics,Forces,foundation,State Newton's First Law of Motion and give an example of it in everyday life.,An object remains at rest or moves at constant velocity unless acted on by a resultant force. Example: a book on a table stays still (gravity balanced by normal force = no resultant); a spacecraft far from any planet continues moving at constant velocity because there is no friction in space.,"Newton's 1st Law: no resultant force = no acceleration = constant velocity (which includes being stationary). This explains why passengers lurch forward when a car brakes suddenly — their bodies ""want"" to keep moving.",4PH1/P2
Physics,Forces,foundation,State Newton's Second Law of Motion and write the formula it gives.,The resultant force on an object is directly proportional to its acceleration and inversely proportional to its mass. Formula: F = ma (Force = mass × acceleration).,"F = ma is the most important equation in mechanics. F is the net (resultant) force in N, m is mass in kg, a is acceleration in m/s². A larger force on the same mass → larger acceleration.",4PH1/P2
Physics,Forces,higher,"Explain why a sharp knife cuts more easily than a blunt knife, using the concept of pressure.",A sharp knife has a much smaller contact area at its edge. Applying the same force: P = F/A. Smaller area → greater pressure on the object being cut. The high pressure cuts through the material more easily.,"Pressure = force / area. For the same applied force, reducing the contact area increases pressure. This is also why a drawing pin has a sharp point and a wide head — large force on small area at the point, small force on large area on the thumb.",4PH1/P2
Physics,Forces,higher,Calculate the moment of a 25 N force applied perpendicular to a wrench handle at 0.4 m from the pivot. State the unit.,10 N m,"Moment = force × perpendicular distance from pivot = 25 × 0.4 = 10 N m. The principle of moments: for equilibrium, total clockwise moment = total anticlockwise moment.",4PH1/P2
Physics,Magnetism,extended,"Describe how an AC generator produces electricity, referring to electromagnetic induction.","A coil of wire rotates between the poles of a magnet. As the coil rotates, it cuts through magnetic field lines, and by Faraday's law of electromagnetic induction, an EMF is induced in the coil. The direction of the EMF reverses every half turn (as the sides of the coil swap which pole they are moving past), producing alternating current. Slip rings maintain continuous contact between the rotating coil and the external circuit.",EMF is induced when a conductor moves through a magnetic field (or when the field changes). The magnitude depends on the rate of cutting field lines. Slip rings (not split-ring commutator) are used in AC generators to maintain the alternating nature of the current.,4PH1/P7
Physics,Magnetism,foundation,Describe the shape and direction of the magnetic field around a bar magnet.,The magnetic field lines go from the north pole to the south pole outside the magnet (and from south to north inside). The field is strongest at the poles (lines closest together) and weakest in the middle. Field lines never cross.,Magnetic field lines show the direction a north pole would move. They are drawn from N to S outside the magnet. Closer lines = stronger field. Field lines form closed loops.,4PH1/P7
Physics,Magnetism,foundation,Explain why the National Grid transmits electricity at high voltage and low current.,Power lost in cables = I²R. A lower current means much less power is wasted as heat in the cables (since power loss depends on current squared). High voltage is used to achieve the same power transmission (P = IV) with a lower current.,P_loss = I²R. For the same power transmitted: higher V → lower I → much lower I²R losses. Step-up transformers increase voltage at the power station; step-down transformers reduce it to safe levels for homes.,4PH1/P7
Physics,Magnetism,foundation,State TWO ways to increase the strength of an electromagnet.,Increase the current flowing through the coil; increase the number of turns of wire in the coil; add a soft iron core.,"Electromagnets: current through wire creates a magnetic field. The field is stronger with: more current, more turns, or a ferromagnetic core (e.g. iron). Permanent magnets cannot have their strength easily adjusted.",4PH1/P7
Physics,Magnetism,higher,A transformer has 200 turns in the primary coil and 1000 turns in the secondary coil. The primary voltage is 12 V. Calculate the secondary voltage.,60 V,Vs/Vp = Ns/Np → Vs = Vp × (Ns/Np) = 12 × (1000/200) = 12 × 5 = 60 V. This is a step-up transformer (secondary voltage > primary voltage).,4PH1/P7
Physics,Magnetism,higher,Explain how a simple DC electric motor works.,"A current-carrying coil is placed in a magnetic field. The magnetic force (motor effect) acts on the coil sides — one side is pushed up and the other down (Fleming's left-hand rule). This creates a turning force (torque). A split-ring commutator reverses the current direction every half turn, ensuring the coil always rotates in the same direction.","F = BIL (force on a current in a magnetic field). Split-ring commutator = key to continuous rotation in a DC motor. Without it, the coil would oscillate back and forth, not rotate continuously.",4PH1/P7
Physics,Motion,extended,A car travels at 20 m/s when the driver sees an obstacle 80 m ahead. The reaction time is 0.5 s and the braking deceleration is 5 m/s². Does the car stop before hitting the obstacle? Show your working.,Thinking distance = 20 × 0.5 = 10 m. Braking: v²=u²+2as → 0=400+2(−5)s → s=40 m. Total = 50 m. Car stops 30 m before obstacle — no collision.,"Total stopping distance = thinking distance + braking distance. Thinking: d = v×t = 20×0.5 = 10 m. Braking: using v²=u²+2as with v=0, u=20, a=−5: s=40 m. Total = 50 m < 80 m. Safe.",4PH1/P1
Physics,Motion,foundation,"Define the term ""velocity"" and explain how it differs from speed.",Velocity is the speed of an object in a specified direction. Speed is a scalar quantity (magnitude only); velocity is a vector quantity (magnitude and direction). An object moving in a circle at constant speed has changing velocity because its direction is constantly changing.,Speed = distance/time (scalar). Velocity = displacement/time (vector). Exam questions often distinguish these. A car going around a roundabout at constant speed has changing velocity.,4PH1/P1
Physics,Motion,foundation,"On a velocity-time graph, what does the area under the line represent?",The distance travelled (displacement).,"Area under a velocity-time graph = distance travelled. This is because distance = average speed × time, and the area gives this product. If the line dips below the x-axis, the area represents displacement in the opposite direction.",4PH1/P1
Physics,Motion,foundation,A car accelerates from 10 m/s to 30 m/s in 5 seconds. Calculate the acceleration.,4 m/s²,Acceleration = (change in velocity) / time = (30 − 10) / 5 = 20 / 5 = 4 m/s². Remember to use SI units.,4PH1/P1
Physics,Motion,foundation,Describe the motion of an object shown by a horizontal line on a distance-time graph.,The object is stationary (not moving). The distance from the starting point is not changing.,"On a distance-time graph: gradient = speed. A horizontal line has zero gradient, meaning zero speed. The object is at rest.",4PH1/P1
Physics,Motion,higher,"A ball is thrown vertically upward at 15 m/s. Taking g = 10 m/s², find the maximum height reached.",11.25 m,"At max height, v = 0. Using v² = u² + 2as: 0 = 225 + 2(−10)s → 20s = 225 → s = 11.25 m. (Taking upward as positive, a = −10 m/s²)",4PH1/P1
Physics,Motion,higher,A cyclist starts from rest and accelerates at 2 m/s² for 8 seconds. Calculate the distance travelled during this time using an equation of motion.,64 m,"s = ut + ½at² = 0(8) + ½(2)(8²) = 0 + ½ × 2 × 64 = 64 m. (u=0, a=2, t=8)",4PH1/P1
Physics,Radioactivity,extended,Evaluate the risks and benefits of using gamma radiation to treat cancer (radiotherapy).,"Benefits: gamma radiation can kill cancer cells by ionising DNA, preventing cell division. External beam radiotherapy can target the tumour, reducing tumour size without surgery. Systemic cancers (e.g. thyroid cancer) can be treated with radioactive iodine. Risks: gamma radiation also damages healthy cells along the beam path, causing side effects (fatigue, nausea, hair loss, tissue damage). Multiple beams from different angles concentrate dose on the tumour to reduce healthy tissue damage. Risk of inducing secondary cancers in the long term.",Exam boards expect a balanced evaluation: both benefits and risks must be discussed. The key is that the benefit (treating cancer) must outweigh the risks. The focused multi-beam approach reduces collateral damage.,4PH1/P8
Physics,Radioactivity,foundation,"State the properties of alpha (α) radiation: what it consists of, its charge, its penetrating ability, and what stops it.",Alpha radiation consists of 2 protons and 2 neutrons (a helium-4 nucleus). Charge: +2. Least penetrating — stopped by a few centimetres of air or a thin sheet of paper. Highly ionising.,"Alpha: heavy, doubly charged → strongly ionising but poor penetrating power. Beta: fast electron → medium ionising, stopped by a few mm of aluminium. Gamma: high-energy EM wave → least ionising, stopped by thick lead/concrete.",4PH1/P8
Physics,Radioactivity,foundation,"What is meant by the term ""half-life"" of a radioactive isotope?","The half-life is the time taken for the number of undecayed nuclei (or the activity) of a radioactive sample to fall to half its original value. It is constant for a given isotope and unaffected by temperature, pressure or chemical state.",Half-life is a statistical measure — we can't predict when any individual nucleus will decay. After 1 half-life: 50% remains. After 2: 25%. After 3: 12.5%. The decay is random and spontaneous.,4PH1/P8
Physics,Radioactivity,higher,"Explain why radioactive decay is described as ""random and spontaneous"".","Random: it is impossible to predict when any particular nucleus will decay — each nucleus has the same probability of decaying per unit time regardless of its history. Spontaneous: decay happens on its own without any external trigger; it is not affected by temperature, pressure, chemical state, or any other external factor.","Radioactive decay cannot be controlled or predicted for individual atoms. We can only predict statistically — half-life tells us that half of a large number of atoms will decay in that time, but we cannot say which ones.",4PH1/P8
Physics,Radioactivity,higher,"Write the nuclear equation for the alpha decay of Radium-226 (Ra-226, atomic number 88).",²²⁶₈₈Ra → ²²²₈₆Rn + ⁴₂He,"In alpha decay: mass number decreases by 4, atomic number decreases by 2. Radium-226 (A=226, Z=88) emits alpha (A=4, Z=2) → Radon-222 (A=222, Z=86). Mass and charge are conserved.",4PH1/P8
Physics,Radioactivity,higher,A radioactive sample has a half-life of 6 hours. The initial activity is 800 Bq. What is the activity after 24 hours?,50 Bq,24 hours = 24/6 = 4 half-lives. Activity after 4 half-lives = 800 × (1/2)⁴ = 800 × 1/16 = 50 Bq.,4PH1/P8
Physics,Thermal Physics,foundation,Calculate the energy required to heat 2 kg of water from 20°C to 100°C. (Specific heat capacity of water = 4200 J/kg°C),"672,000 J (672 kJ)","Q = mcΔT = 2 × 4200 × (100−20) = 2 × 4200 × 80 = 672,000 J.",4PH1/P4
Physics,Thermal Physics,foundation,Explain how conduction transfers heat through a metal rod.,"When one end of a metal rod is heated, the particles at that end gain kinetic energy and vibrate faster. These vibrations are passed on to neighbouring particles through collisions, transferring energy along the rod. In metals, free electrons also carry energy quickly along the rod, making them good conductors.",Two mechanisms in metals: (1) particle vibration (in all solids); (2) free electron transfer (metals only — hence why metals are much better conductors than non-metals). Liquids and gases conduct poorly.,4PH1/P4
Physics,Thermal Physics,foundation,Explain why a radiator painted matt black is a better emitter of infrared radiation than one painted white and shiny.,Matt black surfaces are better emitters (and absorbers) of infrared radiation than shiny white surfaces. A matt black radiator transfers more energy by radiation into the room. Shiny white surfaces reflect radiation and emit poorly.,"Dark/rough surfaces: good absorbers and good emitters of radiation. Light/shiny surfaces: poor absorbers (good reflectors) and poor emitters. This is why solar panels are dark, and why houses in hot climates are painted white.",4PH1/P4
Physics,Thermal Physics,higher,"Explain what happens to the temperature of a substance as it melts, and use the idea of latent heat to explain why.","During melting, the temperature does not change (remains constant at the melting point) even though energy is still being supplied. The energy input (latent heat of fusion) is used to break the intermolecular bonds holding the solid structure together, not to increase the kinetic energy of particles. Temperature only rises once all the solid has melted.","Latent heat is the energy for state change at constant temperature. ""Latent"" means hidden — it does not register on a thermometer. Specific latent heat of fusion (L_f) = energy per kg to melt the substance.",4PH1/P4
Physics,Thermal Physics,higher,"Explain why a thermos flask minimises heat transfer. Refer to conduction, convection and radiation.","Double-walled glass with vacuum between walls: vacuum prevents conduction and convection (no particles to transfer energy). Silvered inner surfaces reflect infrared radiation, reducing radiative transfer. Stopper reduces convection from the top. Combination greatly reduces all three methods of heat transfer.","All three methods addressed: vacuum = no conduction/convection; silver coating = reduces radiation (reflective, low emissivity); stopper = reduces convection at top. Exam marks often require all three to be mentioned.",4PH1/P4
Physics,Waves,foundation,"State TWO differences between transverse and longitudinal waves, giving one example of each.",Transverse: vibrations perpendicular to wave direction; can travel through vacuum; e.g. light/electromagnetic waves. Longitudinal: vibrations parallel to wave direction; cannot travel through vacuum; e.g. sound waves.,Transverse = vibrations at right angles (up-down) to direction of travel. Longitudinal = vibrations along (compression/rarefaction) the direction of travel. Sound cannot travel through a vacuum — demonstrated by the bell-in-vacuum experiment.,4PH1/P5
Physics,Waves,foundation,A ray of light hits a plane mirror at 35° to the mirror surface. What is the angle of reflection?,55°,"Angles in optics are measured from the normal (perpendicular to the mirror surface). Angle of incidence from normal = 90° − 35° = 55°. By the law of reflection, angle of reflection = angle of incidence = 55°.",4PH1/P5
Physics,Waves,foundation,A sound wave has frequency 440 Hz and travels at 340 m/s. Calculate its wavelength.,0.773 m (approximately 0.77 m),v = fλ → λ = v/f = 340/440 = 0.773 m. Sound waves in air travel at ~340 m/s. Higher frequency → shorter wavelength.,4PH1/P5
Physics,Waves,foundation,A wave has a period of 0.025 seconds. Calculate its frequency.,40 Hz,Frequency = 1 / period = 1 / 0.025 = 40 Hz. Frequency and period are reciprocals of each other. Period is the time for one complete wave cycle.,4PH1/P5
Physics,Waves,higher,"State the order of the electromagnetic spectrum from lowest to highest frequency, and give ONE use for each type.","Radio waves (broadcasting), microwaves (cooking/satellite communication), infrared (remote controls/thermal imaging), visible light (seeing/photography), ultraviolet (sterilisation/sunbeds), X-rays (medical imaging), gamma rays (cancer treatment/sterilisation).",All EM waves travel at 3×10⁸ m/s in a vacuum. Higher frequency = higher energy = shorter wavelength. Gamma has highest frequency/energy; radio has lowest. All are transverse waves.,4PH1/P5
Physics,Waves,higher,Explain total internal reflection and state the condition required for it to occur.,"When light travels from a denser medium to a less dense medium (e.g. glass to air), it bends away from the normal. If the angle of incidence exceeds the critical angle, all light is reflected back into the denser medium — this is total internal reflection. Condition: light must be travelling from more dense to less dense medium AND angle of incidence must exceed the critical angle.","TIR is used in: optical fibres (telecommunications, endoscopes), diamond cutting, periscopes with glass prisms. The critical angle for glass/air is ~42°. Snell's law can be used to find critical angle: sin c = 1/n.",4PH1/P5
