"Subject","Topic","Difficulty","Question","Answer","Explanation","SpecReference"
"Biology","Transport - Blood","Easy","State the function of haemoglobin in red blood cells.","Carries oxygen by combining with it in the lungs to form oxyhaemoglobin; releases oxygen in body tissues","Each haemoglobin molecule contains four iron-containing haem groups and can carry four oxygen molecules.","0610/8.1"
"Biology","Transport - Heart","Easy","Name the blood vessel that carries oxygenated blood from the left ventricle to the body.","Aorta","The aorta is the largest artery. It carries oxygenated blood at high pressure from the left ventricle to the systemic circulation.","0610/8.2"
"Biology","Transport - Blood","Easy","State the function of platelets in the blood.","Involved in blood clotting: clump at wounds and release chemicals initiating a cascade that seals the wound","Platelets are cell fragments produced in bone marrow. Clotting prevents blood loss and entry of pathogens.","0610/8.1"
"Biology","Transport - Plants","Easy","State the function of phloem tissue in plants.","Transports dissolved sugars (mainly sucrose) from leaves to other parts of the plant (translocation)","Phloem moves organic solutes from source (leaves where sugars are made) to sink (roots, fruits where sugars are used or stored).","0610/9.1"
"Biology","Transport - Blood Vessels","Medium","Compare the structure of arteries and veins.","Arteries: thick muscular/elastic wall; small lumen; no valves; high pressure; carry blood away from heart. Veins: thin wall; large lumen; valves; low pressure; carry blood to heart.","Arteries withstand high pressure from the pumping heart. Veins have valves to prevent backflow of blood against gravity.","0610/8.2"
"Biology","Transport - Heart","Medium","Describe the double circulation in mammals.","Pulmonary circuit: deoxygenated blood from right ventricle to lungs. Systemic circuit: oxygenated blood from left ventricle to body. Blood passes through the heart twice per full circuit.","Double circulation maintains high blood pressure to the body and keeps oxygenated and deoxygenated blood separate for efficient gas delivery.","0610/8.2"
"Biology","Transport - Heart","Medium","Explain the role of heart valves in the cardiac cycle.","Valves (atrioventricular and semilunar) prevent backflow of blood; they open when pressure is higher on one side and close when pressure reverses","Left AV valve (mitral) and right AV valve (tricuspid) are held by chordae tendinae. Semilunar valves are in the aorta and pulmonary artery.","0610/8.2"
"Biology","Transport - Plants","Medium","State five factors that affect the rate of transpiration.","Light intensity; temperature; humidity; wind speed; surface area of leaves","Higher light intensity, temperature, and wind speed increase transpiration. Higher humidity reduces the concentration gradient for water vapour reducing rate.","0610/9.2"
"Biology","Transport - Plants","Medium","Describe the pathway of water from soil to leaf in the transpiration stream.","Soil water → root hair cells (osmosis) → cortex cells (osmosis) → xylem vessels → up stem → leaf mesophyll cells → evaporates → diffuses out through stomata","Water moves by osmosis down a water potential gradient from soil to root then rises in xylem driven by the cohesion-tension mechanism.","0610/9.2"
"Biology","Transport - Heart","Hard","Describe the cardiac cycle.","Diastole: heart relaxes; chambers fill. Atrial systole: atria contract; blood pushed into ventricles. Ventricular systole: ventricles contract; blood pumped to lungs and body. Valves open and close throughout to prevent backflow.","The cycle repeats ~70 times/min at rest. The heart is myogenic: the sinoatrial node generates its own electrical impulses without nervous input.","0610/8.2"
"Biology","Transport - Plants","Hard","Compare the structure and function of xylem and phloem.","Xylem: dead cells; no cytoplasm; lignified walls; unidirectional upward flow; transports water and minerals. Phloem: living sieve tube cells; sieve plates; bidirectional flow; transports sugars and amino acids.","Xylem is also a structural tissue. Phloem uses active loading to move solutes between source and sink tissues.","0610/9.1"
"Biology","Transport - Plants","Hard","Explain the cohesion-tension mechanism of water movement in xylem.","Transpiration from leaves creates tension; cohesion between water molecules transmits tension down the continuous water column in xylem; water is pulled up from roots; root pressure also contributes at night","This mechanism allows water to reach over 100 m in tall trees without an active pump. It depends on the strong hydrogen bonds between water molecules.","0610/9.2"
"Biology","Respiration - Aerobic","Easy","Write the word equation for aerobic respiration.","Glucose + oxygen → carbon dioxide + water (+ energy released as ATP)","Aerobic respiration fully oxidises glucose in the presence of oxygen. Most ATP is produced at the inner mitochondrial membrane.","0610/12.1"
"Biology","Respiration - Anaerobic","Easy","What are the products of anaerobic respiration in mammalian muscle cells?","Lactic acid and a small amount of ATP","Anaerobic respiration provides a rapid but inefficient ATP supply during intense exercise when oxygen delivery is insufficient.","0610/12.2"
"Biology","Respiration - Gas Exchange","Easy","Name the structures in the lungs where gas exchange occurs.","Alveoli","Alveoli are tiny air sacs with very thin walls and a rich capillary blood supply for efficient gas exchange.","0610/12.3"
"Biology","Respiration - Aerobic vs Anaerobic","Medium","Compare aerobic and anaerobic respiration in terms of products and ATP yield.","Aerobic: glucose + O2 → CO2 + water; ~36-38 ATP. Anaerobic: glucose → lactic acid; only 2 ATP. Aerobic is far more efficient.","Anaerobic respiration is a temporary measure. The lactic acid produced must be dealt with after exercise (oxygen debt).","0610/12.2"
"Biology","Respiration - Anaerobic","Medium","Explain what is meant by oxygen debt.","After anaerobic respiration lactic acid accumulates; extra oxygen is needed after exercise to oxidise lactic acid to CO2 and water; this extra oxygen requirement is the oxygen debt","Oxygen debt explains why breathing rate stays elevated for some time after vigorous exercise stops.","0610/12.2"
"Biology","Respiration - Gas Exchange","Medium","Describe how alveoli are adapted for efficient gas exchange.","Very large combined surface area (~70 m^2); walls one cell thick (short diffusion path); rich capillary network (maintains steep concentration gradient); moist lining (gases dissolve)","These adaptations maximise the rate of diffusion of O2 into blood and CO2 out of blood by Fick's law.","0610/12.3"
"Biology","Respiration - Control","Medium","Explain how the body adjusts to exercise by changing breathing rate and depth.","More CO2 produced during exercise; CO2 dissolves in blood lowering pH; medulla oblongata detects this and sends signals to increase breathing rate and depth to remove CO2 and supply more O2","The medulla oblongata is the respiratory centre. It responds to blood CO2 (not O2) concentration in normal conditions.","0610/12.3"
"Biology","Respiration - Mitochondria","Hard","Describe the structure of a mitochondrion and relate each feature to its function.","Outer membrane: separates organelle from cytoplasm. Inner membrane folded into cristae: large SA for oxidative phosphorylation. Matrix: contains enzymes for Krebs cycle. Own DNA and ribosomes for self-replication.","Mitochondria are thought to have evolved from engulfed prokaryotes (endosymbiotic theory). More active cells contain more mitochondria.","0610/12.1"
"Biology","Respiration - Aerobic","Hard","Outline the three stages of aerobic respiration and where each occurs.","Glycolysis (cytoplasm): glucose → pyruvate; 2 ATP net. Link/Krebs cycle (mitochondrial matrix): pyruvate → CO2 + reduced coenzymes. Oxidative phosphorylation (inner membrane): reduced coenzymes + O2 → water + majority of ATP.","This three-stage process yields approximately 36-38 ATP per glucose. Glycolysis is anaerobic; the last two stages require oxygen.","0610/12.1"
"Biology","Respiration - Gas Exchange","Hard","Explain how gas exchange in a leaf differs from gas exchange in the lung.","Leaf: diffusion through stomata and air spaces; no pumping mechanism; stomata can close to reduce water loss. Lung: ventilation actively pumps air; alveoli specialised for rapid diffusion; breathing rate varies with demand.","In plants gas exchange is linked to photosynthesis: CO2 is consumed and O2 released during the day. At night the reverse occurs during respiration only.","0610/12.3"
"Biology","Coordination - Nervous System","Easy","Name the two main coordinating systems in the human body.","Nervous system and endocrine (hormonal) system","The nervous system uses electrical impulses for fast short-lived responses. The endocrine system uses hormones for slower but longer-lasting responses.","0610/14.1"
"Biology","Coordination - Reflexes","Easy","List the five components of a reflex arc in order.","Receptor → sensory neurone → relay neurone (spinal cord) → motor neurone → effector (muscle or gland)","Reflex arcs allow rapid automatic responses without conscious brain involvement helping protect the body from harm.","0610/14.2"
"Biology","Coordination - Hormones","Easy","Name the hormone that lowers blood glucose and state where it is produced.","Insulin; produced by beta cells in the islets of Langerhans in the pancreas","Insulin promotes glucose uptake by cells and its conversion to glycogen in the liver lowering blood glucose concentration.","0610/15.1"
"Biology","Coordination - Nervous vs Hormonal","Medium","Compare nervous and hormonal coordination.","Nervous: fast; electrical impulses along neurones; short-lived; specific target. Hormonal: slower; chemicals travel in blood; longer-lasting; wider target area.","Both systems coordinate body functions. For example blood glucose regulation involves both: nervous detection and hormonal response.","0610/14.1"
"Biology","Coordination - Homeostasis","Medium","Describe how the body responds when body temperature rises above normal.","Hypothalamus detects rise in blood temperature; vasodilation of skin arterioles increases heat radiation; increased sweating removes heat by evaporation; body temperature returns to normal set point (negative feedback)","The hypothalamus acts as both receptor and control centre. These responses increase heat loss until normal temperature is restored.","0610/15.2"
"Biology","Coordination - Hormones","Medium","Describe the role of ADH in regulating water balance.","ADH released from pituitary gland when blood solute concentration is too high; acts on collecting duct of kidney nephron; increases water reabsorption; less water lost in urine; blood concentration returns to normal","If dehydrated: more ADH → concentrated urine. Well-hydrated: less ADH → dilute urine. This is negative feedback control.","0610/15.3"
"Biology","Coordination - Nervous System","Medium","Describe how a nerve impulse crosses a synapse.","Action potential reaches presynaptic membrane; vesicles release neurotransmitter into synaptic cleft; neurotransmitter diffuses across and binds to receptors on postsynaptic membrane; new action potential triggered; neurotransmitter broken down and recycled","Synaptic transmission ensures one-way transmission. Common neurotransmitters include acetylcholine (ACh) and noradrenaline.","0610/14.2"
"Biology","Coordination - Homeostasis","Hard","Explain negative feedback using blood glucose regulation as an example.","Blood glucose rises after eating → pancreas detects this → beta cells secrete insulin → glucose taken up by cells; glycogen synthesised → blood glucose falls back to normal set point. Blood glucose falls → alpha cells secrete glucagon → glycogen converted to glucose → blood glucose rises.","Negative feedback means the response opposes the original change to maintain a constant internal environment (homeostasis).","0610/15.1"
"Biology","Coordination - Nervous System","Hard","Explain how the structure of a motor neurone is adapted to its function.","Long axon: transmits impulses over long distances. Myelin sheath (Schwann cells): insulates axon and speeds impulse conduction (saltatory conduction). Motor end plate: connects to muscle for neuromuscular transmission.","Myelin sheath speeds conduction from ~0.5 m/s to >100 m/s. Multiple sclerosis damages myelin slowing nerve impulses.","0610/14.2"
"Biology","Coordination - Hormones","Hard","Compare the effects of adrenaline with those of the sympathetic nervous system in a fight-or-flight response.","Both: increase heart rate; dilate pupils; redirect blood to muscles; raise blood glucose. Nervous: immediate via electrical impulses. Adrenaline: slightly slower but longer-lasting effect via bloodstream.","Adrenaline is released from the adrenal medulla reinforcing and prolonging the sympathetic nervous response to danger.","0610/15.1"
"Biology","Inheritance - Terminology","Easy","Define the term allele.","An alternative form (version) of a gene at the same locus on a chromosome","Different alleles produce different phenotypes. For example the gene for eye colour has alleles for brown and blue.","0610/17.1"
"Biology","Inheritance - Terminology","Easy","Distinguish between genotype and phenotype.","Genotype: the alleles carried by an organism. Phenotype: the observable characteristics (result of genotype and environment).","Phenotype can be influenced by environment. A plant may carry genes for tallness but grow short if nutrient-deprived.","0610/17.1"
"Biology","Inheritance - Monohybrid","Easy","A plant is homozygous dominant for flower colour. If the allele for red is R write its genotype.","RR","Homozygous = both alleles the same. Dominant = uppercase letter. Genotype = RR.","0610/17.2"
"Biology","Inheritance - Monohybrid","Medium","Show using a Punnett square the expected offspring ratios from crossing Tt × Tt.","Genotype: 1TT : 2Tt : 1tt. Phenotype: 3 dominant : 1 recessive.","Gametes from each parent: T and t. Punnett square gives TT, Tt, Tt, tt. Three show the dominant phenotype for every one recessive.","0610/17.2"
"Biology","Inheritance - Codominance","Medium","Explain codominance using the ABO blood group system as an example.","Both alleles are expressed equally in the phenotype. I^A and I^B are codominant: genotype I^A I^B gives blood group AB expressing both A and B antigens.","Unlike simple dominance neither allele is masked. The ABO system has three alleles: I^A, I^B (codominant) and I^O (recessive to both).","0610/17.3"
"Biology","Inheritance - Sex Determination","Medium","Explain how sex is determined in humans.","Females are XX; males are XY. The father's sperm carries either X or Y. At fertilisation there is a 50% chance of XX (female) or XY (male).","Sex determination occurs at fertilisation. The SRY gene on the Y chromosome triggers male development.","0610/17.4"
"Biology","Inheritance - Mutation","Medium","Explain how a gene mutation can cause disease using sickle cell anaemia as an example.","A single base change in the haemoglobin gene changes one amino acid (glutamic acid → valine); altered haemoglobin causes red blood cells to distort into a sickle shape blocking capillaries and reducing oxygen transport.","Sickle cell anaemia is caused by a point mutation. It is autosomal recessive; carriers (Hb^A Hb^S) are partly protected against malaria.","0610/17.5"
"Biology","Inheritance - Dihybrid","Hard","Two parents both AaBb are crossed. State the expected phenotype ratio of offspring.","9 A_B_ : 3 A_bb : 3 aaB_ : 1 aabb (9:3:3:1)","Each parent produces four gamete types (AB, Ab, aB, ab). A 4x4 Punnett square gives 16 combinations. 9/16 show both dominant; 3/16 each single dominant; 1/16 both recessive.","0610/17.6"
"Biology","Inheritance - Pedigree","Hard","In a pedigree an affected child has two unaffected parents. What can you conclude about the inheritance pattern?","The condition is autosomal recessive; both parents are carriers (heterozygous); each child has a 25% chance of being affected.","Autosomal recessive conditions appear to skip generations and are equally likely in males and females. Carriers show no symptoms.","0610/17.2"
"Biology","Inheritance - Evolution","Hard","Explain how natural selection can lead to a change in allele frequency in a population.","Variation exists due to mutation; individuals with advantageous alleles survive and reproduce more (differential reproductive success); they pass advantageous alleles to offspring; allele frequency gradually changes over generations.","Darwin's natural selection operates on phenotypic variation. Antibiotic resistance in bacteria is a modern example of rapid allele frequency change.","0610/18.1"
"Biology","Ecology - Food Chains","Easy","Define the term producer in ecology.","An organism that makes its own food by photosynthesis (autotroph); forms the first trophic level in food chains","Plants and algae are producers. They convert light energy into chemical energy stored in organic molecules.","0610/19.1"
"Biology","Ecology - Food Chains","Easy","What is the name for organisms that break down dead organic matter?","Decomposers (bacteria and fungi)","Decomposers secrete enzymes to digest dead organic matter externally then absorb the products. They return mineral ions to the soil.","0610/19.3"
"Biology","Ecology - Energy Flow","Medium","Explain why only about 10% of energy is transferred between trophic levels.","Energy is lost as heat during respiration; lost in excretion and faeces; inedible parts are not consumed; energy used for movement and maintenance within the trophic level","This inefficiency limits food chain length to 3-5 links and explains why eating lower in the food chain is more energy efficient.","0610/19.2"
"Biology","Ecology - Carbon Cycle","Medium","Describe the main processes in the carbon cycle.","Photosynthesis removes CO2; aerobic respiration releases CO2; combustion of fossil fuels releases CO2; decomposition releases CO2; carbon stored in organisms, soil, oceans, and fossil fuels.","The carbon cycle maintains atmospheric CO2 levels. Burning fossil fuels is adding carbon that was stored for millions of years.","0610/19.3"
"Biology","Ecology - Human Impact","Medium","Describe the greenhouse effect and explain its link to global warming.","Greenhouse gases (CO2, methane, water vapour) absorb infrared radiation re-emitted by Earth and re-radiate it back trapping heat; enhanced greenhouse effect raises average global temperature causing climate change.","The natural greenhouse effect is essential for life on Earth. Human activity (burning fossil fuels and deforestation) is enhancing it causing anthropogenic climate change.","0610/20.1"
"Biology","Ecology - Human Impact","Medium","Explain the process of eutrophication and its effects on aquatic ecosystems.","Excess fertilisers (nitrates/phosphates) run into water → algal bloom → algae block sunlight → submerged plants die → aerobic decomposer bacteria multiply → oxygen depleted → fish and aquatic organisms die (deoxygenation).","Eutrophication is a major consequence of agricultural run-off. The key step is bacterial decomposition of dead plants consuming dissolved oxygen.","0610/20.1"
"Biology","Ecology - Bioaccumulation","Hard","Explain how persistent pesticides accumulate to harmful concentrations in top predators (biomagnification).","Pesticide not metabolised so accumulates in fatty tissues; organisms at each trophic level consume many from the level below; concentration multiplies at each link; top predators accumulate highest concentrations.","DDT caused eggshell thinning in birds of prey. This illustrates why even low environmental concentrations of persistent chemicals can be dangerous.","0610/20.1"
"Biology","Ecology - Sustainability","Hard","Describe methods used to sustainably manage fish stocks.","Set catch quotas; regulate minimum net mesh size (allow young fish to escape); enforce closed seasons; create marine protected areas; develop fish farming; international monitoring and enforcement.","Sustainable management aims to maintain fish populations above viable breeding levels so future generations can also benefit from the resource.","0610/20.2"
"Physics","Motion - Speed","Easy","A car travels 150 m in 30 s. Calculate its average speed.","5 m/s","Average speed = distance / time = 150 / 30 = 5 m/s.","0625/1.1"
"Physics","Motion - Definitions","Easy","Define velocity.","Speed of an object in a specified direction; it is a vector quantity with both magnitude and direction","Speed is a scalar (magnitude only). Velocity is a vector because direction matters. They can have the same magnitude but velocity specifies direction.","0625/1.1"
"Physics","Motion - Graphs","Easy","On a distance-time graph what does the gradient (slope) represent?","Speed (rate of change of distance)","A steeper gradient means greater speed. A horizontal line means the object is stationary.","0625/1.2"
"Physics","Motion - Acceleration","Medium","A cyclist accelerates from 10 m/s to 25 m/s in 5 s. Calculate the acceleration.","3 m/s^2","a = (v − u) / t = (25 − 10) / 5 = 15 / 5 = 3 m/s^2.","0625/1.3"
"Physics","Motion - Graphs","Medium","A velocity-time graph shows a horizontal line at 15 m/s. Describe the motion.","Constant velocity of 15 m/s; zero acceleration","A horizontal line on a v-t graph means velocity is not changing; acceleration = 0. The object moves at constant speed in a straight line.","0625/1.2"
"Physics","Motion - Equations","Medium","A ball starts from rest and accelerates uniformly at 4 m/s^2 for 6 s. Calculate its final velocity.","24 m/s","v = u + at = 0 + 4 x 6 = 24 m/s.","0625/1.3"
"Physics","Motion - Graphs","Medium","A velocity-time graph shows a triangle with base 8 s and peak velocity 20 m/s. What is the distance travelled?","80 m","Distance = area under v-t graph = (1/2) x base x height = (1/2) x 8 x 20 = 80 m.","0625/1.2"
"Physics","Motion - Equations","Hard","A train starts from rest and accelerates at 3 m/s^2. Calculate the distance it travels in 8 s.","96 m","s = ut + (1/2)at^2 = 0 + (1/2)(3)(64) = 96 m.","0625/1.3"
"Physics","Motion - Deceleration","Hard","A car brakes from 20 m/s to rest in 4 s. Calculate the braking distance.","40 m","Distance = average velocity x time = ((20 + 0)/2) x 4 = 10 x 4 = 40 m. (Or use v^2 = u^2 + 2as: 0 = 400 + 2a x s; a = -5 m/s^2; s = 40 m.)","0625/1.3"
"Physics","Motion - Graphs","Hard","Describe the shape of a velocity-time graph for an object dropped in air until it reaches terminal velocity.","Steep initial rise (large acceleration near g); curve becomes less steep as air resistance increases; approaches horizontal asymptote (zero acceleration) at terminal velocity","As speed increases air resistance increases until it equals weight. At terminal velocity net force = 0 and acceleration = 0.","0625/1.4"
"Physics","Forces - Newton's Laws","Easy","State Newton's First Law of Motion.","An object remains at rest or continues moving in a straight line at constant speed unless acted on by a resultant force","This is the law of inertia. A resultant force is needed to cause a change in an object's state of motion.","0625/2.1"
"Physics","Forces - Weight","Easy","Calculate the weight of an object of mass 12 kg. (g = 10 N/kg)","120 N","Weight = mass x g = 12 x 10 = 120 N.","0625/2.2"
"Physics","Forces - Friction","Easy","Define friction.","A force opposing relative motion between two surfaces in contact","Friction can be useful (braking; walking) or a nuisance (energy wastage in machines). It always acts opposite to the direction of motion.","0625/2.3"
"Physics","Forces - Pressure","Easy","Calculate the pressure when a force of 60 N acts on an area of 0.02 m^2.","3000 Pa","P = F / A = 60 / 0.02 = 3000 Pa.","0625/2.4"
"Physics","Forces - Newton's Laws","Medium","A resultant force of 200 N acts on an object of mass 50 kg. Calculate the acceleration.","4 m/s^2","F = ma so a = F/m = 200/50 = 4 m/s^2. (Newton's Second Law)","0625/2.1"
"Physics","Forces - Moments","Medium","A 5 kg weight is placed 0.4 m from the pivot of a lever. Calculate the moment about the pivot. (g = 10 N/kg)","20 N·m","Moment = force x perpendicular distance = (5 x 10) x 0.4 = 20 N·m.","0625/2.5"
"Physics","Forces - Equilibrium","Medium","State the two conditions for an object to be in equilibrium.","(1) Resultant force = 0 (forces balanced). (2) Resultant moment = 0 (turning effects balanced).","Both conditions must hold. An object can have balanced forces but a net turning effect in which case it rotates.","0625/2.5"
"Physics","Forces - Pressure","Medium","Calculate the pressure at a depth of 5 m in water. (density = 1000 kg/m^3; g = 10 N/kg)","50 000 Pa","P = ρgh = 1000 x 10 x 5 = 50 000 Pa.","0625/2.4"
"Physics","Forces - Newton's Laws","Medium","State Newton's Third Law and give an example.","For every action there is an equal and opposite reaction; forces act on different objects. Example: a rocket expels gas downward (action); gas pushes rocket upward (reaction).","Newton's Third Law force pairs are equal in magnitude, opposite in direction, the same type, and act on different objects.","0625/2.1"
"Physics","Forces - Terminal Velocity","Hard","Explain why a falling object reaches terminal velocity.","As speed increases air resistance (drag) increases; initially weight > air resistance so object accelerates; when air resistance equals weight resultant force = 0; acceleration = 0; object falls at constant terminal velocity.","Terminal velocity depends on the object's weight and shape/area. A parachutist has a much lower terminal velocity with parachute open.","0625/1.4"
"Physics","Forces - Moments","Hard","A uniform beam of weight 120 N and length 4 m is pivoted at its centre. A 40 N force acts 1.5 m to the left. Where must an 80 N force act to the right to achieve balance?","0.75 m from pivot","Anticlockwise moment = 40 x 1.5 = 60 N·m. For balance: 80 x d = 60; d = 0.75 m from pivot.","0625/2.5"
"Physics","Forces - Circular Motion","Hard","Describe the forces acting on a ball swung in a horizontal circle on a string.","The tension in the string provides the centripetal force directed towards the centre; this force constantly changes the direction of velocity causing circular motion; there is no centrifugal force (not a real force).","Centripetal force = mv^2/r. Without the string the ball would travel in a straight line tangentially (Newton's First Law).","0625/2.6"
"Physics","Energy - Kinetic Energy","Easy","Calculate the kinetic energy of a 2 kg ball moving at 10 m/s.","100 J","KE = (1/2)mv^2 = (1/2)(2)(10^2) = (1/2)(2)(100) = 100 J.","0625/3.1"
"Physics","Energy - Conservation","Easy","State the principle of conservation of energy.","Energy cannot be created or destroyed; it can only be transferred from one form to another; the total energy in a closed system remains constant.","All physical processes obey this law. Apparent energy losses are always conversions to thermal energy due to friction or air resistance.","0625/3.2"
"Physics","Energy - Power","Easy","Define power and state its unit.","Power is the rate of doing work (or rate of energy transfer); P = W/t; unit: watt (W)","1 watt = 1 joule per second. A high-power machine transfers energy quickly.","0625/3.3"
"Physics","Energy - Gravitational PE","Medium","Calculate the gravitational PE gained by a 5 kg mass lifted 8 m. (g = 10 N/kg)","400 J","GPE = mgh = 5 x 10 x 8 = 400 J.","0625/3.1"
"Physics","Energy - Efficiency","Medium","A machine has input energy 500 J and useful output energy 350 J. Calculate the efficiency.","70%","Efficiency = (useful output / total input) x 100 = (350/500) x 100 = 70%.","0625/3.4"
"Physics","Energy - Transfers","Medium","Describe the energy changes in a simple pendulum swinging freely.","At highest points: maximum GPE and minimum KE. At lowest point: maximum KE and minimum GPE. Energy continuously converts between GPE and KE (conserved if air resistance ignored).","Without air resistance the pendulum would swing forever. In practice thermal energy is transferred via air resistance and pivot friction.","0625/3.2"
"Physics","Energy - Resources","Medium","Distinguish between renewable and non-renewable energy sources. Give two examples of each.","Renewable (replenish naturally): solar; wind; hydroelectric; tidal; geothermal. Non-renewable (finite supply): coal; oil; natural gas; nuclear fuel.","Renewable sources are often intermittent or less energy-dense. Non-renewables are energy-rich but release CO2 (except nuclear) and will eventually run out.","0625/3.5"
"Physics","Energy - Work Done","Hard","A force of 40 N is applied at 30° to the horizontal to pull a box 10 m along a flat surface. Calculate the work done.","346 J","W = Fd cos θ = 40 x 10 x cos 30° = 400 x 0.866 ≈ 346 J.","0625/3.1"
"Physics","Energy - Power","Hard","A car engine exerts a driving force of 3000 N while the car moves at 25 m/s. Calculate engine power output.","75 000 W (75 kW)","P = Fv = 3000 x 25 = 75 000 W = 75 kW.","0625/3.3"
"Physics","Energy - Efficiency","Hard","A pump lifts 200 kg of water 15 m in 60 s. Electrical input power is 600 W. Calculate efficiency. (g = 10 N/kg)","83.3%","Useful output power = mgh/t = (200 x 10 x 15)/60 = 500 W. Efficiency = 500/600 x 100 = 83.3%.","0625/3.4"
"Physics","Thermal Physics - Kinetic Theory","Easy","Describe Brownian motion and state what it provides evidence for.","Random erratic motion of small particles (e.g. smoke) in a fluid; caused by unequal collisions from fast-moving molecules; provides evidence for the particle nature of matter and kinetic theory.","Einstein explained Brownian motion mathematically in 1905. It was key evidence for the existence of atoms and molecules.","0625/4.1"
"Physics","Thermal Physics - Specific Heat","Easy","Define specific heat capacity.","The energy needed to raise the temperature of 1 kg of a substance by 1°C (or 1 K); unit: J/(kg·K)","Water has a high specific heat capacity (4200 J/kg·K) making it effective as a coolant and explaining why coastal areas have moderate climates.","0625/4.2"
"Physics","Thermal Physics - Heat Transfer","Easy","Describe conduction as a method of heat transfer.","Transfer of thermal energy through a material without bulk movement; vibrating particles pass energy to neighbours; free electrons carry energy efficiently in metals.","Metals are good conductors due to free electrons. Non-metals and gases are poor conductors (thermal insulators).","0625/4.3"
"Physics","Thermal Physics - Specific Heat","Medium","Calculate the energy needed to heat 2 kg of water from 20°C to 45°C. (c = 4200 J/kg·K)","210 000 J","Q = mcΔT = 2 x 4200 x 25 = 210 000 J = 210 kJ.","0625/4.2"
"Physics","Thermal Physics - Convection","Medium","Explain why convection currents form in a heated room.","Hot air near the heater is less dense and rises; cooler denser air sinks to replace it; this sets up a circulating convection current that gradually heats the whole room.","Convection requires bulk movement of a fluid (liquid or gas). It cannot occur in solids as particles cannot move freely.","0625/4.3"
"Physics","Thermal Physics - Latent Heat","Medium","Explain why steam at 100°C causes more severe burns than water at 100°C.","Steam at 100°C contains latent heat of vaporisation; when it condenses on skin it releases this extra energy (~2260 J/g) in addition to the energy released as it cools from 100°C.","Latent heat of vaporisation of water (~2.26 MJ/kg) is much greater than the energy to heat the same mass by 1°C.","0625/4.2"
"Physics","Thermal Physics - Heat Transfer","Medium","Explain how a vacuum flask reduces heat transfer by all three methods.","Vacuum between double walls: prevents conduction and convection. Silvered walls: reflect infrared radiation reducing radiation. Insulating stopper: reduces conduction through the top.","A vacuum flask uses all three strategies simultaneously to minimise heat transfer between the contents and surroundings.","0625/4.3"
"Physics","Thermal Physics - Latent Heat","Hard","500 g of steam at 100°C condenses to water at 100°C. Calculate the energy released. (L = 2.26 x 10^6 J/kg)","1.13 x 10^6 J","Q = mL = 0.5 x 2.26 x 10^6 = 1.13 x 10^6 J = 1.13 MJ.","0625/4.2"
"Physics","Thermal Physics - Evaporation","Hard","Explain why evaporation causes cooling of a liquid.","Molecules with the highest kinetic energy escape from the surface; average KE of remaining molecules decreases; since temperature is proportional to average KE the liquid cools.","This is why sweating cools the body: evaporation of sweat removes thermal energy from the skin.","0625/4.1"
"Physics","Thermal Physics - Gas Laws","Hard","A gas occupies 2 L at pressure 100 kPa. The pressure is increased to 400 kPa at constant temperature. Calculate the new volume.","0.5 L","Boyle's Law: P1V1 = P2V2 at constant temperature. 100 x 2 = 400 x V2. V2 = 200/400 = 0.5 L.","0625/4.4"
"Physics","Waves - Properties","Easy","Define wavelength.","The distance between two successive points that are in phase (e.g. crest to crest or trough to trough); unit: metre (m)","Wavelength is represented by lambda (λ). Short wavelength corresponds to high frequency.","0625/5.1"
"Physics","Waves - EM Spectrum","Easy","State the speed of electromagnetic waves in a vacuum.","3 x 10^8 m/s (approximately 300 000 km/s)","All electromagnetic waves travel at the same speed in a vacuum. This is the speed of light (c).","0625/5.4"
"Physics","Waves - Types","Easy","Describe transverse waves and give two examples.","Particles vibrate perpendicular to the direction of wave travel. Examples: light; water waves; all EM waves.","Transverse waves can be polarised. Longitudinal waves (e.g. sound) vibrate parallel to the direction of travel and cannot be polarised.","0625/5.1"
"Physics","Waves - Wave Equation","Medium","A sound wave has frequency 200 Hz and wavelength 1.5 m. Calculate the wave speed.","300 m/s","v = f x λ = 200 x 1.5 = 300 m/s.","0625/5.1"
"Physics","Waves - Refraction","Medium","Explain what happens to a light ray when it passes from air into glass at an angle.","The ray slows down and bends towards the normal (refraction); wavelength decreases but frequency stays the same; angle of refraction is less than angle of incidence.","The refractive index indicates how much slower light travels in the medium compared to a vacuum.","0625/5.2"
"Physics","Waves - Total Internal Reflection","Medium","Describe total internal reflection and state one application.","Occurs when light travels from a denser to a less dense medium and the angle of incidence exceeds the critical angle; all light is reflected. Application: optical fibres for communications.","Total internal reflection allows optical fibres to transmit light over long distances with minimal energy loss.","0625/5.3"
"Physics","Waves - EM Spectrum","Medium","List the main regions of the electromagnetic spectrum in order of increasing wavelength.","Gamma rays, X-rays, ultraviolet, visible light, infrared, microwaves, radio waves (wavelength increases; frequency decreases)","All EM waves are transverse; travel at 3 x 10^8 m/s in a vacuum; are caused by oscillating electric and magnetic fields.","0625/5.4"
"Physics","Waves - Diffraction","Hard","State the conditions for maximum diffraction and explain the effect.","Diffraction is greatest when the gap or obstacle size is approximately equal to the wavelength; waves spread out most; much smaller or larger gaps give less spreading.","Light diffracts through narrow slits producing interference fringes. Sound diffracts around doorways because its wavelength (~1 m) is similar to door width.","0625/5.2"
